id,speaker1,speaker2,speaker_id1,speaker_id2,title,room_id,room,start_at,end_at,description
442801,Christian Ledermann,,c3b26a0c-5c1d-4c5d-a9a5-5deeebe7b4ab,,"A Tale of two Kitchens, hyper modernizing your codebase.",32764,Henihan,2023-03-25T09:30:00.0000000Z,2023-03-25T10:10:00.0000000Z,"When starting a new python project, the “hypermodern” python ‘template’ is a popular choice. Its style is opinionated and strict, and it brings a consistent style and today's best practices. How do I bring my legacy codebase up to this standard?A Consistent style and standard and the consistent use of the same tools in all your code, makes it easier to reason about, reduces context switching, thus reducing waste (in the LEAN sense). A clean environment is good for your health and safety, enabling you to deliver quality faster.This talk goes deeper into how to modernize your legacy codebase to reduce your technical debt, to make it easier for you to tackle the real challenges without ever having to discuss a style guide again. It will provide tips, tricks and tools to make your “hypermodernization” effort as smooth and easy as possible."
456986,Dean Moorehouse,,1e78745c-94c2-458f-8b43-9bc0c888ddd4,,"Python Web Scraping Applications: Tips, Demos, & Ideas",32765,O'Brien,2023-03-25T09:30:00.0000000Z,2023-03-25T10:10:00.0000000Z,"Web scraping in python is a very powerful tool with many useful applications. This session will give an overview of web scraping, using python with some elements of network security and penetration testing and techniques included. Some useful tools will be demonstrated such as terminal setup, virtual environments, network monitoring and analysing website structures for web scraping, and mimicing real users, automation, data handling and processing. Some examples will be presented showing real use cases such as scraping a shopping website to find promotions and email results, checking/plotting exchange rate/stock price information, scraping 40k car adverts to view and analyse statistics.From simple retrieval of information to automated procedures, the possibilities are endless."
452263,Karan Balkar,,26fa80fe-888e-43bb-af4c-7050fb0ca934,,Using Chaos toolkit to determine resiliency for your web app,32766,Wogan,2023-03-25T09:30:00.0000000Z,2023-03-25T10:10:00.0000000Z,Chaos engineering can be made easier using the Python based Chaos toolkit. This session will talk about how to ensure your modern web application is resilient to changes. It will also explain how to install the Chaos toolkit and configure the same to use it for your existing web app.
449947,Shritesh Jamulkar,,c6129fce-1c47-4c3d-a9a6-d3ab86b231c4,,Python for Blockchain Interoperability,32764,Henihan,2023-03-25T10:10:00.0000000Z,2023-03-25T10:50:00.0000000Z,"In this talk, we will provide an overview of blockchain interoperability and discuss the challenges that arise when trying to connect different blockchain networks. We will then explore how Python can be used to develop cross-chain applications that allow for the exchange of assets and information between different blockchains.We will discuss the use of Python-based tools and libraries for developing cross-chain applications, such as py-etherscan-api, which provides an interface for accessing data on the Ethereum blockchain, and py-bitcoinlib, which provides tools for working with the Bitcoin blockchain.We will also discuss how interoperability can be achieved using technologies such as sidechains and relays. We will provide a step-by-step guide to building a cross-chain application using Python, including the use of smart contracts for atomic swaps.Additionally, we will showcase real-world examples of Python-based cross-chain applications and discuss the potential benefits of blockchain interoperability, such as increased liquidity and reduced fragmentation in the blockchain ecosystem.This talk is ideal for Python developers, blockchain enthusiasts, and anyone interested in learning about the challenges and opportunities of blockchain interoperability, and how Python can be used to facilitate it."
457453,Mick O'Hara,Ryan Lloyd Balane,fa1a80e6-019e-4206-a0b0-d36465f15991,da081ac1-b7b6-4494-8c48-c13fe8dbf355,Python In The Lab - Enabling Evaluation Of Advanced Integrated Circuits (IC's),32765,O'Brien,2023-03-25T10:10:00.0000000Z,2023-03-25T10:50:00.0000000Z,"SummaryIntegrated Circuit (IC) development, manufacture, validation and release is a protracted and complex process, often spanning more than a year and involving hundreds of Engineers across a range of disciplines. At the outset of each project, every effort is made to ensure that each stage in the lifecycle of the project will run as smoothly as possible to meet key milestones.This means that the processes and methods applied by each discipline in turn, from Design through to Test and Evaluation, must be robust and proven to meet the demands of the work performed by each of the groups involved.Python provides our Design Evaluation group with those robust and proven processes and tools to get the job done.AbstractThe main goal of IC Evaluation is to determine whether or not the device meets a range of important performance specifications. In order to achieve this goal, many IC's are tested extensively across a range of conditions (ambient temperature, supply voltage, etc.) on custom designed printed circuit boards, resulting in varying amounts of data being gathered, processed and ultimately analyzed to extract actionable information. Within our Design Evaluation group, this testing is accomplished by leveraging the tools and methods that make up our Evaluation Python framework.This talk will offer a high level overview of the suite of Python tools developed by our group over time with an emphasis on two libraries in particular: - Test & Measurement Instrument Drivers ○ The control of a wide range of laboratory instruments is key to efficient measurement execution and our suite of Instrument Drivers written in Python play a key role here. By using a simple and easily customizable JSON template technique, the generation of the Python code for the lowest level instrument commands ensures consistent base code with minimized chances of human error and ultimately reliable evaluation measurements. - Integrated Circuit Register Map Parsing Tool ○ Most Integrated Circuits will have thousands of internal registers that provide the means by which the part can be configured. A suitable interface must be provided to our Python Environment in order to program the part correctly as part of the Evaluation process. The parsing tool automatically generates this Python based interface from an XML file in a convenient hierarchical structure."
443099,Saurav Jain,,fe3887c3-af62-4bc2-aa38-aca9ebfe4aa6,,Why your open-source community is failing and how to avoid the churn,32766,Wogan,2023-03-25T10:10:00.0000000Z,2023-03-25T10:50:00.0000000Z,"Managing and building an open-source developers community can be time-consuming, labor-intensive, and most of the time, it is a hit and trial for what to do and what not to do. This can bring an unavoidable churn in your community, with developers leaving the community because of not finding enough value resulting in grief and frustration. In this session, we’ll discuss how to build successful open source communities and programs that resulted in a highly engaged community of developers that are passionate about open source, contributing PRs, and sharing valuable and authentic feedback that made our open source project successful."
439198,JJ Asghar,,1de5e334-6895-4c02-8b48-75ee6c1b46ca,,Burn Out: It’s not just for open source anymore,32764,Henihan,2023-03-25T11:10:00.0000000Z,2023-03-25T11:50:00.0000000Z,"You, or your company, have been in the open source space for awhile now. You are not 100% sure if this investment is paying off in the way that you expected, but you’ve already sunk time and money into it. It seems you also have an open source project committee meeting you need to attend in an hour, and a Pull Request list longer than your internal unread Slack messages? Do you feel like you get more GitHub notifications than emails from your direct co-workers?? You might be burned out on open source. You keep asking yourself, is there a solution? As two people who have been able to answer this question in the affirmative, JJ and Jeremy will help you identify open source burnout and ways you can rework your involvement to drive the goals you originally set out for."
449122,Max Vizard,,9161a888-6360-44c2-bf65-8af9640d3c46,,Home automation with MicroPython,32765,O'Brien,2023-03-25T11:10:00.0000000Z,2023-03-25T11:50:00.0000000Z,"An overview of my custom home automation setup with Micropython controllers, Raspberry Pi server and graphite metrics. Will talk about building customised MicroPython firmware, MQTT protocol, graphite metrics stack and using crontab for timing the central heating."
450304,Moshe Reubinoff,,807bd731-e817-49fa-81c1-89673ff45ad6,,can I take it from home? Harnessing Technology for Fair and Secure Online Testing,32764,Henihan,2023-03-25T11:50:00.0000000Z,2023-03-25T12:30:00.0000000Z,"The post-COVID brings new challenges in education, including remote exams. How the academic institutions made the progress to ensure fair and secure exams for students at home?Academic institutions have recognized the need to allow students to take exams from home while maintaining the integrity of the exams. To ensure this, measures must be taken to prevent cheating. how we use python with image processing and audio analyses to detect the exam violation. In this talk, I will present innovative solution to secure online testing in the post-COVID education world.I'll introduce a revolutionary project using AWS services to create a monitored environment for students. Learn how our innovative solution, using Lambda, Rekognition, and Transcribe, eliminates cheating, ensures behavior compliance, and protects student privacy. Learn how our dependable and secure online testing environment brings peace of mind to the education community."
456035,Mackenzie Jackson,,4e52cb59-2074-4f77-ad95-1f7c36f3bb28,,Thinking like a hacker to design and build secure applications,32765,O'Brien,2023-03-25T11:50:00.0000000Z,2023-03-25T12:30:00.0000000Z,"Cyber security has drastically changed over the past decade, hacking groups today are complete businesses, with overheads, employees and even vacation days. They work with increased sophistication targeting the digital supply chain we build our products on, targeting not just us, but our providers, customers, users and employees. In this session, we get to understand these hacking groups from the inside as ethical hacker Mackenzie Jackson breaks down the facades used by these groups, from their structure to the economic principles they rely on. We use this understanding to answer the question, “How do we design, build and ship digital products that are secure?”. By examining the anatomy of recent high-profile security attacks, we will explore exactly how these attackers were able to target organizations through weaknesses, not just in applications, but in the dependencies and tools they rely on. These dependencies, like cloud infrastructure, third-party services and open-source packages make 90% of our applications today and can leave us vulnerable through no fault of our own, like being a passenger in a car crash. Using this knowledge we explore how we can take back control of security in our products by reviewing:- How we can incorporate security into how we design, build and ship our python applications from day zero. - The key steps you can take when building products are to enforce and maintain security. - Ensuring the products we ship are secure and maintaining security throughout their entire life. Most importantly we explore why security doesn’t need to be boring and how you can get your entire team excited about designing, building, and shipping secure products today. --------------------------------------------------------------------------------------------The outline of this presentation will be:What are modern hackers - We explore Hackonomics 101, how hacking groups operate and how they target your products. Exploring modern attacks - We break apart recent high-profile security incidents and explore exactly how attackers were able to exploit vulnerabilities baked into our software supply chain. Understanding our own vulnerabilities - Your attack exposure is bigger than you think, 90% of the code that makes our applications run are from our dependencies. Attackers probably know your code better than you do. Designing for security - Security gets harder, more expensive and more painful the further we get. We look at how we can build a security plan when designing our products from day zero. Building for security - A plan is nothing without action. What can we do to build secure products, key steps to take and best practices to follow. Shipping securely - Vulnerabilities can be introduced at any moment, don't let final mistakes cost you. Best practices to ship secure productsMaintaining a secure product - Secure doesn’t end when you ship a product you need a plan and actionable steps to keep your product secure for its entire life. Making security fun - Security needs by in from the entire team to work, how can we make security fun and accessible to everyone."
